title,released_year,rated_class,run_time,stars,total_ratings,genre,summary
Kingdom of the Planet of the Apes,2024.0,,,,,Action|Sci-Fi,"Many years after the reign of Caesar, a young ape goes on a journey that will lead him to question everything he's been taught about the past and make choices that will define a future for apes and humans alike."
Damsel,2024.0,PG-13,1h 48m,,,Action|Adventure|Fantasy,"A dutiful damsel agrees to marry a handsome prince, only to find the royal family has recruited her as a sacrifice to repay an ancient debt."
Twisters,2024.0,,,,,Action|Adventure|Thriller,"An update to the 1996 film 'Twister', which centered on a pair of storm chasers who risk their lives in an attempt to test an experimental weather alert system."
Orion and the Dark,2024.0,TV-Y7,1h 33m,6.4,9.5K,Animation|Adventure|Comedy,"A boy with an active imagination faces his fears on an unforgettable journey through the night with his new friend: a giant, smiling creature named Dark."
Ordinary Angels,2024.0,PG,1h 58m,7.9,806,Drama,Inspired by the incredible true story of a hairdresser who single-handedly rallies an entire community to help a widowed father save the life of his critically ill young daughter.
Memory,2023.0,14A,1h 39m,6.7,1.9K,Drama,Sylvia is a social worker who leads a simple and structured life. This is blown open when Saul follows her home from their high school reunion. Their surprise encounter will profoundly impact both of them as they open the door to the past.
Bottoms,2023.0,14A,1h 31m,6.8,36K,Comedy,Two unpopular queer high-school students start a fight club to have sex before graduation.
Love Lies Bleeding,2024.0,18A,1h 44m,,,Action|Adventure|Crime,"Gym manager Lou falls for Jackie, a bodybuilder who is passing through town en route to a competition in Las Vegas."
Ferrari,2023.0,14A,2h 10m,6.5,30K,Biography|Drama|History,"Set in the summer of 1957, with Enzo Ferrari's auto empire in crisis, the ex-racer turned entrepreneur pushes himself and his drivers to the edge as they launch into the Mille Miglia, a treacherous 1,000-mile race across Italy."
Rebel Moon - Part One: A Child of Fire,2023.0,PG-13,2h 13m,5.6,100K,Action|Adventure|Drama,"When a peaceful settlement on the edge of a distant moon finds itself threatened by the armies of a tyrannical ruling force, a mysterious stranger living among its villagers becomes their best hope for survival."
Napoleon,2023.0,14A,2h 38m,6.4,113K,Action|Adventure|Biography,"An epic that details the checkered rise and fall of French Emperor Napoleon Bonaparte and his relentless journey to power through the prism of his addictive, volatile relationship with his wife, Josephine."
Priscilla,2023.0,14A,1h 53m,6.6,26K,Biography|Drama|Music,"When teenage Priscilla Beaulieu meets Elvis Presley, the man who is already a meteoric rock-and-roll superstar becomes someone entirely unexpected in private moments: a thrilling crush, an ally in loneliness, a vulnerable best friend."
The Godfather,1972.0,18A,2h 55m,9.2,2M,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
Ghostbusters: Frozen Empire,2024.0,PG-13,2h 5m,,,Adventure|Comedy|Fantasy,"When the discovery of an ancient artifact unleashes an evil force, Ghostbusters new and old must join forces to protect their home and save the world from a second ice age."
Midsommar,2019.0,18A,2h 28m,7.1,395K,Drama|Horror|Mystery,A couple travels to Northern Europe to visit a rural hometown's fabled Swedish mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult.
Wicked Little Letters,2023.0,R,1h 40m,7.1,1.8K,Comedy|Crime|Drama,"When people in Littlehampton--including conservative local Edith--begin to receive letters full of hilarious profanities, rowdy Irish migrant Rose is charged with the crime. Suspecting that something is amiss, the town's women investigate."
Navalny,2022.0,16+,1h 39m,7.7,29K,Documentary|Biography,Follows the man who survived an assassination attempt by poisoning with a lethal nerve agent in August 2020. During his months-long recovery he makes shocking discoveries about the attempt on his life and decides to return home.
Gran Turismo,2023.0,PG,2h 14m,7.2,90K,Action|Adventure|Drama,"Based on the unbelievable, inspiring true story of a team of underdogs - a struggling, working-class gamer, a failed former race car driver, and an idealistic motorsport exec - who risk it all to take on the most elite sport in the world."
