title,released_year,rated_class,run_time,stars,total_ratings,genre,summary
Mr,2015.0,14A,1h 35m,6.3,61K,Action|Comedy|Romance,"A girl falls for the ""perfect"" guy, who happens to have a very fatal flaw: he's a hitman on the run from the crime cartels who employ him."
Vanilla Sky,2001.0,14A,2h 16m,6.9,284K,Fantasy|Mystery|Romance,A self-indulgent and vain publishing magnate finds his privileged life upended after a vehicular accident with a resentful lover.
Perfume: The Story of a Murderer,2006.0,18A,2h 27m,7.5,264K,Crime|Drama|Fantasy,"Jean-Baptiste Grenouille, born with a superior olfactory sense, creates the world's finest perfume. His work, however, takes a dark turn as he searches for the ultimate scent."
The Lego Batman Movie,2017.0,G,1h 44m,7.3,171K,Animation|Action|Adventure,"A cooler-than-ever Bruce Wayne must deal with the usual suspects as they plan to rule Gotham City, while discovering that he has accidentally adopted a teenage orphan who wishes to become his sidekick."
Can't Buy Me Love,1987.0,PG,1h 34m,6.8,42K,Comedy|Drama|Romance,An outcast secretly pays the most popular girl in school one thousand dollars to pretend to be his girlfriend for a month.
P,,,,,,,
Road to Perdition,2002.0,14A,1h 57m,7.7,283K,Crime|Drama|Thriller,"A mob enforcer's son in 1930s Illinois witnesses a murder, forcing him and his father to take to the road, and his father down a path of redemption and revenge."
Dangal,2016.0,G,2h 41m,8.3,208K,Action|Biography|Drama,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.
Welcome to the Punch,2013.0,14A,1h 39m,6.1,35K,Action|Crime|Thriller,"When a notorious criminal is forced to return to London, it gives a detective one last chance to take down the man he's always been after."
Immortals,2011.0,18A,1h 50m,6.0,176K,Action|Drama|Fantasy,"Theseus is a mortal man chosen by Zeus to lead the fight against the ruthless King Hyperion, who is on a rampage across Greece to obtain a weapon that can destroy humanity."
Megamind,2010.0,PG,1h 35m,7.3,292K,Animation|Action|Comedy,"Evil genius Megamind finally defeats his do-gooder nemesis, Metro Man, but is left without a purpose in a superhero-free world."
2012,2009.0,PG,2h 38m,5.8,396K,Action|Adventure|Sci-Fi,A frustrated writer struggles to keep his family alive when a series of global catastrophes threatens to annihilate mankind.
Game Night,2018.0,14A,1h 40m,6.9,254K,Action|Adventure|Comedy,A group of friends who meet regularly for game nights find themselves entangled in a real-life mystery when the shady brother of one of them is seemingly kidnapped by dangerous gangsters.
The Wailing,2016.0,14A,2h 36m,7.4,81K,Drama|Horror|Mystery,"Soon after a stranger arrives in a little village, a mysterious sickness starts spreading. A policeman, drawn into the incident, is forced to solve the mystery in order to save his daughter."
Trainwreck,2015.0,14A,2h 5m,6.2,142K,Comedy|Drama|Romance,"Having thought that monogamy was never possible, a commitment-phobic career woman may have to face her fears when she meets a good guy."
End of Watch,2012.0,14A,1h 49m,7.6,267K,Action|Crime|Drama,"Shot documentary-style, this film follows the daily grind of two young police officers in LA who are partners and friends and what happens when they meet criminal forces greater than themselves."
The Crazies,2010.0,18A,1h 41m,6.5,128K,Horror,"After a strange and insecure plane crash, an unusual toxic virus enters a quaint farming town. A young couple are quarantined, but they fight for survival along with help from a couple of people."
I Saw the Devil,2010.0,18A,2h 24m,7.8,145K,Action|Crime|Thriller,A secret agent exacts revenge on a serial killer through a series of captures and releases.
The Ritual,2017.0,TV-MA,1h 34m,6.3,118K,Horror|Mystery|Thriller,"A group of old college friends reunite for a trip to a most dangerous country in Europe - Sweden, encountering a menacing presence there stalking them."
It Boy,2013.0,18+,1h 32m,6.3,11K,Comedy|Romance,"Alice works for ""Rebelle"" magazine, where she needs to let her hair down to get a promotion. When Balthazar returns a lost USB to Alice, the appearance of dating someone half her age helps her. Does it get real?"
The Fighter,2010.0,14A,1h 56m,7.8,387K,Action|Biography|Drama,"Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness."
Young & Beautiful,2013.0,18A,1h 35m,6.7,38K,Drama|Romance,"After losing her virginity, Isabelle takes up a secret life as a call girl, meeting her clients for hotel-room trysts. Throughout, she remains curiously aloof, showing little interest in the encounters themselves or the money she makes."
Ace Ventura: Pet Detective,1994.0,14A,1h 26m,6.9,323K,Comedy,A goofy detective specializing in animals goes in search of the missing mascot of the Miami Dolphins.
The Matrix Reloaded,2003.0,14A,2h 18m,7.2,627K,Action|Sci-Fi,"Freedom fighters Neo, Trinity and Morpheus continue to lead the revolt against the Machine Army, unleashing their arsenal of extraordinary skills and weaponry against the systematic forces of repression and exploitation."
Desire,2011.0,18+,1h 43m,5.4,8.7K,Drama|Romance,"In a social context deteriorated by a countrywide economic crisis, the life of several people will be turned upside down after they meet Cecile, a character who symbolizes desire."
You Are So Not Invited to My Bat Mitzvah,2023.0,PG-13,1h 43m,6.0,23K,Comedy,"Stacy and Lydia are BFFs who've always dreamed about having epic Bat Mitzvahs. However, things start to go comically awry when a popular boy and middle school drama threatens their friendship and their rite of passage."
Daredevil,2003.0,14A,1h 43m,5.3,228K,Action|Crime,A man blinded by toxic waste which also enhanced his remaining senses fights crime as an acrobatic martial arts superhero.
The Waterboy,1998.0,PG,1h 30m,6.1,177K,Comedy|Sport,A waterboy for a college football team discovers he has a unique tackling ability and becomes a member of the team.
What Women Want,2000.0,PG,2h 7m,6.4,221K,Comedy|Fantasy|Romance,"A cocky, chauvinistic advertising executive magically acquires the ability to hear what women are thinking."
My All-American,2015.0,PG,1h 58m,7.1,7.6K,Biography|Drama|Sport,"Freddie Steinmark, an underdog on the gridiron, faces the toughest challenge of his life after leading his team to a championship season."
Do the Right Thing,1989.0,R,2h,8.0,112K,Comedy|Drama,"On the hottest day of the year on a street in the Bedford-Stuyvesant section of Brooklyn, everyone's hate and bigotry smolders and builds until it explodes into violence."
Run Hide Fight,2020.0,R,1h 49m,6.3,27K,Action|Crime|Drama,"17-year-old Zoe Hull uses her wits, survival skills, and compassion to fight for her life, and those of her fellow classmates, against a group of live-streaming school shooters."
The Evil Dead,1981.0,R,1h 25m,7.4,231K,Horror,"Five friends travel to a cabin in the woods, where they unknowingly release flesh-possessing demons."
Love Machine,2016.0,RX,1h 19m,3.8,1.1K,Drama|Romance,"Director Pavel Ruminov wanted to break up with his girlfriend. But she had a different opinion on the matter and refused to leave the flat, insisting their story was not over yet."
Ticket to Paradise,2022.0,PG,1h 44m,6.1,63K,Comedy|Romance,A divorced couple teams up and travels to Bali to stop their daughter from making the same mistake they think they made 25 years ago.
WarGames,1983.0,PG,1h 54m,7.1,110K,Action|Drama|Sci-Fi,"A young man finds a back door into a military central computer in which reality is confused with game-playing, possibly starting World War III."
Nomadland,2020.0,PG,1h 47m,7.3,181K,Drama,"A woman in her sixties, after losing everything in the Great Recession, embarks on a journey through the American West, living as a van-dwelling modern-day nomad."
Oldboy,2013.0,18A,1h 44m,5.8,80K,Action|Drama|Mystery,"Obsessed with vengeance, a man sets out to find out why he was kidnapped and locked into solitary confinement for twenty years without reason."
Four Daughters,2023.0,14A,1h 47m,7.4,1.6K,Documentary,"Between light and darkness stands Olfa, a Tunisian woman and the mother of four daughters. One day, her two older daughters disappear. Filmmaker Kaouther Ben Hania invites professional actresses to fill in their absence."
Cinema Paradiso,1988.0,PG,2h 54m,8.5,280K,Drama|Romance,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.
Chef,2014.0,14A,1h 54m,7.3,230K,Adventure|Comedy|Drama,"A head chef quits his restaurant job and buys a food truck in an effort to reclaim his creative promise, while piecing back together his estranged family."
The Judge,2014.0,PG,2h 21m,7.4,201K,Crime|Drama|Mystery,"Big-city lawyer Hank Palmer returns to his childhood home where his father, the town's judge, is suspected of murder. Hank sets out to discover the truth; along the way he reconnects with his estranged family."
How to Train Your Dragon,2025.0,,,,,Action|Adventure|Family,"Follows a young Viking as he aspires to hunt dragons, and how he becomes unexpectedly a friend of a young dragon."
Dick Tracy,1990.0,PG,1h 45m,6.2,65K,Action|Comedy|Crime,The comic strip detective finds his life vastly complicated when Breathless Mahoney makes advances towards him while he is trying to battle Big Boy Caprice's united mob.
The Holy Mountain,1973.0,18A,1h 54m,7.8,48K,Adventure|Drama|Fantasy,"In a corrupt, greed-fueled world, a powerful alchemist leads a messianic character and seven materialistic figures to the Holy Mountain, where they hope to achieve enlightenment."
Raya and the Last Dragon,2021.0,PG,1h 47m,7.3,170K,Animation|Action|Adventure,"In a realm known as Kumandra, a re-imagined Earth inhabited by an ancient civilization, a warrior named Raya is determined to find the last dragon."
Cure,1997.0,18A,1h 51m,7.5,22K,Crime|Horror|Mystery,A frustrated detective deals with the case of several gruesome murders committed by people who have no recollection of what they've done.
Tom & Jerry,2021.0,PG,1h 41m,5.3,40K,Animation|Adventure|Comedy,"A chaotic battle ensues between Jerry Mouse, who has taken refuge in the Royal Gate Hotel, and Tom Cat, who is hired to drive him away before the day of a big wedding arrives."
Jungle Cruise,2021.0,PG,2h 7m,6.6,211K,Action|Adventure|Comedy,Based on Disneyland's theme park ride where a small riverboat takes a group of travelers through a jungle filled with dangerous animals and reptiles but with a supernatural element.
Norbit,2007.0,PG,1h 43m,4.2,79K,Comedy|Romance,"A mild-mannered guy, who is married to a monstrous woman, meets the woman of his dreams, and schemes to find a way to be with her."
Mandy,2018.0,R,2h 1m,6.5,89K,Action|Fantasy|Horror,"The enchanted lives of a couple in a secluded forest are brutally shattered by a nightmarish hippie cult and their demon-biker henchmen, propelling a man into a spiraling, surreal rampage of vengeance."
What's Eating Gilbert Grape,1993.0,PG,1h 58m,7.7,253K,Drama,A young man in a small Midwestern town struggles to care for his mentally-disabled younger brother and morbidly obese mother while attempting to pursue his own happiness.
To Kill a Mockingbird,1962.0,PG,2h 9m,8.3,331K,Crime|Drama,"Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a Black man against an undeserved rape charge, and tries to educate his young children against prejudice."
Hostiles,2017.0,14A,2h 14m,7.2,95K,Drama|Western,"In 1892, a legendary Army Captain reluctantly agrees to escort a Cheyenne chief and his family through dangerous territory."
Twins,1988.0,PG,1h 47m,6.2,136K,Comedy|Crime,"A physically perfect but innocent man goes in search of his long-lost twin brother, who is short, a womanizer, and small-time crook."
Furious 7,2015.0,14A,2h 17m,7.1,413K,Action|Crime|Thriller,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.
Perfect Blue,1997.0,18A,1h 21m,8.0,93K,Animation|Crime|Drama,"A pop singer gives up her career to become an actress, but she slowly goes insane when she starts being stalked by an obsessed fan and what seems to be a ghost of her past."
My Big Fat Greek Wedding 3,2023.0,PG,1h 32m,5.2,8K,Comedy|Drama|Romance,"After the death of the family's patriarch, Toula attempts to locate her father's childhood friends in Greece for a family reunion."
The Girl with the Dragon Tattoo,2009.0,18A,2h 32m,7.8,223K,Crime|Drama|Mystery,A journalist is aided by a young female hacker in his search for the killer of a woman who has been dead for forty years.
Die Hard 2,1990.0,18A,2h 4m,7.1,381K,Action|Thriller,"John McClane attempts to avert disaster as rogue military operatives seize control of Dulles International Airport in Washington, D.C."
Mr,2009.0,PG,2h 21m,7.7,245K,Drama|Fantasy|Romance,"A boy stands on a station platform as a train is about to leave. Should he go with his mother or stay with his father? Infinite possibilities arise from this decision. As long as he doesn't choose, anything is possible."
The Cell,2000.0,16+,1h 47m,6.4,109K,Crime|Horror|Sci-Fi,"An F.B.I. Agent persuades a social worker, who is adept with a new experimental technology, to enter the mind of a comatose serial killer in order to learn where he has hidden his latest kidnap victim."
The Bad Guys,2022.0,G,1h 40m,6.8,57K,Animation|Adventure|Comedy,"To avoid prison, a gang of notorious animal criminals pretends to seek being rehabilitated, only for their leader to realize that he genuinely wants to change his ways."
The Blind Side,2009.0,PG,2h 9m,7.6,358K,Biography|Drama|Sport,"The story of Michael Oher, a homeless and traumatized boy who became an All-American football player and first-round NFL draft pick with the help of a caring woman and her family."
Risky Business,1983.0,18A,1h 39m,6.8,99K,Comedy|Crime|Drama,"A Chicago teenager is looking for fun at home while his parents are away, but the situation quickly gets out of hand."
Movie 43,2013.0,14A,1h 34m,4.3,112K,Comedy,A series of interconnected short films follows a washed-up producer as he pitches insane story lines featuring some of the biggest stars in Hollywood.
The Little Mermaid,1989.0,G,1h 23m,7.6,289K,Animation|Adventure|Family,A mermaid princess makes a Faustian bargain in an attempt to become human and win a prince's love.
The Boy Next Door,2015.0,14A,1h 31m,4.7,45K,Thriller,"A woman, separated from her unfaithful husband, falls for a younger man who has moved in next door, but their torrid affair soon takes a dangerous turn."
Race for Glory: Audi vs,2024.0,R,1h 49m,5.8,1.8K,Biography|Drama|Sport,"A true David vs. Goliath story spotlighting the intense rivalry between Audi and Lancia at the 1983 Rally World Championship. Against all odds, Lancia battles to regain its former glory with a combination of innovation and courage."
Treasure Planet,2002.0,G,1h 35m,7.2,132K,Animation|Adventure|Family,"Jim Hawkins is a teenager who finds the map of a great treasure hidden by a space pirate. Together with some friends, he sets off in a large spaceship, shaped like a caravel, on his quest."
Hellraiser,1987.0,R,1h 34m,6.9,139K,Horror|Thriller,"A woman discovers the newly resurrected, partially formed, body of her brother-in-law and lover. She starts killing for him to revitalize his body and escape the demonic beings that are pursuing him after he escaped their underworld."
The Machinist,2004.0,18A,1h 41m,7.6,413K,Drama|Thriller,An industrial worker who hasn't slept in a year begins to doubt his own sanity.
North by Northwest,1959.0,18A,2h 16m,8.3,344K,Action|Adventure|Mystery,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt."
Memory,2022.0,14A,1h 54m,5.7,34K,Action|Crime|Thriller,An assassin-for-hire finds that he's become a target after he refuses to complete a job for a dangerous criminal organization.
Sleepy Hollow,1999.0,18A,1h 45m,7.3,382K,Fantasy|Horror|Mystery,Ichabod Crane is sent to Sleepy Hollow to investigate the decapitations of three people; the culprit is legendary apparition The Headless Horseman.
The Quick and the Dead,1995.0,14,1h 48m,6.5,102K,Action|Drama|Romance,"A female gunfighter returns to a frontier town where a dueling tournament is being held, which she enters in an effort to avenge her father's death."
Zoolander,2001.0,14A,1h 30m,6.5,290K,Comedy,"At the end of his career, a clueless fashion model is brainwashed to kill the Prime Minister of Malaysia."
The Name of the Rose,1986.0,18A,2h 10m,7.7,116K,Drama|Mystery|Thriller,An intellectually nonconformist friar investigates a series of mysterious deaths in an isolated abbey.
Red One,2024.0,,1h 42m,,,Action|Adventure|Comedy,"After a villain kidnaps Santa from the North Pole, an E.L.F (Extremely Large and Formidable) operative must partner with the world's most accomplished tracker to find Santa and save Christmas."
Breakfast at Tiffany's,1961.0,PG,1h 55m,7.6,191K,Comedy|Drama|Romance,"A young New York socialite becomes interested in a young man who has moved into her apartment building, but her past threatens to get in the way."
Monsters University,2013.0,G,1h 44m,7.2,387K,Animation|Adventure|Comedy,"A look at the relationship between Mike Wazowski and James P. ""Sully"" Sullivan during their days at Monsters University, when they weren't necessarily the best of friends."
The Old Guard,2020.0,R,2h 5m,6.7,182K,Action|Thriller,A covert team of immortal mercenaries is suddenly exposed and must now fight to keep their identity a secret just as an unexpected new member is discovered.
The Graduate,1967.0,14A,1h 46m,8.0,287K,Comedy|Drama|Romance,A disillusioned college graduate finds himself torn between his older lover and her daughter.
Source Code,2011.0,PG,1h 33m,7.5,547K,Action|Drama|Mystery,A soldier wakes up in someone else's body and discovers he's part of an experimental government program to find the bomber of a commuter train within 8 minutes.
The Craft,1996.0,14A,1h 41m,6.4,107K,Drama|Fantasy|Horror,"A newcomer to a Catholic prep high school falls in with a trio of outcast teenage girls who practice witchcraft, and they all soon conjure up various spells and curses against those who anger them."
They Cloned Tyrone,2023.0,R,2h 2m,6.6,39K,Comedy|Mystery|Sci-Fi,A series of eerie events thrusts an unlikely trio onto the trail of a nefarious government conspiracy in this pulpy mystery caper.
Sleepless in Seattle,1993.0,PG,1h 45m,6.8,190K,Comedy|Drama|Romance,A recently widowed man's son calls a radio talk-show in an attempt to find his father a partner.
Red Dragon,2002.0,18A,2h 4m,7.2,289K,Crime|Drama|Thriller,"A retired FBI agent with psychological gifts is assigned to help track down ""The Tooth Fairy"", a mysterious serial killer. Aiding him is imprisoned forensic psychiatrist Dr. Hannibal ""The Cannibal"" Lecter."
Toy Story 2,1999.0,G,1h 32m,7.9,616K,Animation|Adventure|Comedy,"When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye."
The Next Three Days,2010.0,PG,2h 13m,7.3,206K,Action|Crime|Drama,A married couple's life is turned upside down when the wife is accused of a murder.
The Spiderwick Chronicles,2008.0,PG,1h 36m,6.5,102K,Action|Adventure|Drama,"Upon moving into the run-down Spiderwick Estate with their mother, twin brothers Jared and Simon Grace, along with their sister Mallory, find themselves pulled into an alternate world full of faeries and other creatures."
Capernaum,2018.0,14A,2h 6m,8.4,104K,Drama,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect."
Gattaca,1997.0,PG,1h 46m,7.7,321K,Drama|Sci-Fi|Thriller,A genetically inferior man assumes the identity of a superior one in order to pursue his lifelong dream of space travel.
Naked,1993.0,R,2h 11m,7.7,44K,Comedy|Drama,An unemployed Mancunian vents his rage on unsuspecting strangers as he embarks on a nocturnal London odyssey.
Out of the Furnace,2013.0,14A,1h 56m,6.7,124K,Action|Crime|Drama,"When Rodney Baze mysteriously disappears and law enforcement doesn't follow through fast enough, his older brother Russell takes matters into his own hands to find justice."
Police Academy,1984.0,14A,1h 36m,6.7,136K,Comedy,"A group of good-hearted, but incompetent misfits enter the police academy, but the instructors there are not going to put up with their pranks."
The Wicker Man,1973.0,14A,1h 28m,7.5,91K,Horror|Mystery|Thriller,"A puritan police sergeant arrives in a Scottish island village in search of a missing girl, who the pagan locals claim never existed."
Deep Fear,2023.0,,1h 24m,4.4,8.7K,Action|Horror|Thriller,Storm-stricken drug traffickers force a yachtswoman to recover their sunken cocaine stash from shark-infested waters.
10 Cloverfield Lane,2016.0,14A,1h 43m,7.2,352K,Drama|Horror|Mystery,A young woman is held in an underground bunker by a man who insists that a hostile event has left the surface of the Earth uninhabitable.
What Every Frenchwoman Wants,1986.0,18+,1h 35m,5.6,5.1K,Comedy,"A teenager returns home to spend his summer vacation. However, in a mansion full of women, he will have no choice but to expand his education in titillating ways."
Orphan,2009.0,18A,2h 3m,7.0,250K,Horror|Mystery|Thriller,A husband and wife who recently lost their baby adopt a 9-year-old girl who is not nearly as innocent as she appears.
Halloween,1978.0,R,1h 31m,7.7,305K,Horror|Thriller,"Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again."
The Return of the Living Dead,1985.0,14A,1h 31m,7.3,68K,Comedy|Horror|Sci-Fi,"When two bumbling employees at a medical supply warehouse accidentally release a deadly gas into the air, the vapors cause the dead to rise again as zombies."
The Hills Have Eyes,2006.0,18A,1h 47m,6.4,182K,Horror|Thriller,A traveling family falls victim to a group of mutated cannibals in a desert far away from civilization.
The King's Speech,2010.0,PG,1h 58m,8.0,705K,Biography|Drama|History,"The story of King George VI, his unexpected ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer."
Den of Thieves,2018.0,14A,2h 20m,7.0,123K,Action|Crime|Drama,An elite unit of the LA County Sheriff's Dept. and the state's most successful bank robbery crew clash as the outlaws plan a seemingly impossible heist on the Federal Reserve Bank.
Good Boys,2019.0,14A,1h 30m,6.7,81K,Adventure|Comedy,"Three 6th-grade boys ditch school and embark on an epic journey while carrying accidentally stolen drugs, being hunted by teenage girls, and trying to make their way home in time for a long-awaited party."
The Last Witch Hunter,2015.0,14A,1h 46m,5.9,109K,Action|Adventure|Fantasy,The last witch hunter is all that stands between humanity and the combined forces of the most horrifying witches in history.
The Aviator,2004.0,PG,2h 50m,7.5,382K,Biography|Drama,A biopic depicting the early years of legendary director and aviator Howard Hughes' career from the late 1920s to the mid 1940s.
Winter's Bone,2010.0,PG,1h 40m,7.1,150K,Drama|Mystery,An unflinching Ozark Mountain girl hacks through dangerous social terrain as she hunts down her drug-dealing father while trying to keep her family intact.
Varsity Blues,1999.0,14A,1h 46m,6.5,49K,Comedy|Drama|Romance,A back-up quarterback is chosen to lead a Texas football team to victory after the star quarterback is injured.
The Jungle Book,2016.0,PG,1h 46m,7.4,291K,Animation|Action|Adventure,"After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther Bagheera and free-spirited bear Baloo."
The Outrun,2024.0,,1h 58m,7.7,157,Drama,"After living life on the edge in London, Rona attempts to come to terms with her troubled past. She returns to the wild beauty of Scotland's Orkney Islands (where she grew up) hoping to heal. Adapted from Amy Liptrot's bestselling memoir."
Barbarella,1968.0,14A,1h 38m,5.9,37K,Adventure|Comedy|Fantasy,"In the 41st century, an astronaut partakes in sexy misadventures while seeking to stop an evil scientist who threatens to bring evil back into the galaxy."
The Interview,2014.0,14A,1h 52m,6.5,352K,Action|Adventure|Comedy,"Dave Skylark and his producer Aaron Rapaport run the celebrity tabloid show ""Skylark Tonight"". When they land an interview with a surprise fan, North Korean dictator Jong-Un Kim, they are recruited by the CIA to assassinate him."
Death Wish,2018.0,18A,1h 47m,6.3,76K,Action|Crime|Drama,"Dr. Paul Kersey is an experienced trauma surgeon, a man who has spent his life saving lives. After an attack on his family, Paul embarks on his own mission for justice."
Sunset Blvd,1950.0,PG,1h 50m,8.4,235K,Drama|Film-Noir,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.
"Me, Myself & Irene",2000.0,18A,1h 56m,6.6,250K,Comedy,A nice-guy cop with Dissociative Identity Disorder must protect a woman on the run from a corrupt ex-boyfriend and his associates.
Sausage Party,2016.0,18A,1h 29m,6.1,209K,Animation|Adventure|Comedy,A sausage strives to discover the truth about his existence.
Nymphomaniac: Vol,2013.0,R,2h 4m,6.6,98K,Drama,"The continuation of Joe's sexually dictated life delves into the darker aspects of her adulthood, obsessions and what led to her being in Seligman's care."
MaXXXine,,,,,,Horror,"Follows Maxine, who was the only survivor of the bloody incidents of X, as she continues her journey towards fame to be an actress in 1980s Los Angeles."
Silverado,1985.0,PG,2h 13m,7.2,49K,Action|Crime|Drama,A misfit bunch of friends comes together to right the injustices which exist in a small town.
The Sandpiper,1965.0,TV-14,1h 57m,6.2,3.8K,Drama|Romance,"A free-spirited single mother forms a connection with the married headmaster of an Episcopalian boarding school in Monterey, California."
Capote,2005.0,14A,1h 54m,7.3,140K,Biography|Crime|Drama,"In 1959, Truman Capote learns of the murder of a Kansas family and decides to write a book about the case. While researching for his novel In Cold Blood, Capote forms a relationship with one of the killers, Perry Smith, who is on death row."
The Lawnmower Man,1992.0,14A,1h 48m,5.4,39K,Horror|Sci-Fi,A simple man is turned into a genius through the application of computer science.
White Boy Rick,2018.0,14A,1h 51m,6.5,42K,Crime|Drama,"The story of teenager Richard Wershe Jr., who became an undercover informant for the FBI during the 1980s and was ultimately arrested for drug-trafficking and sentenced to life in prison."
Men in Black 3,2012.0,PG,1h 46m,6.8,385K,Action|Adventure|Comedy,Agent J travels in time to M.I.B.'s early days in 1969 to stop an alien from assassinating his friend Agent K and changing history.
Lost Highway,1997.0,R,2h 14m,7.6,152K,Mystery|Thriller,"Anonymous videotapes presage a musician's murder conviction, and a gangster's girlfriend leads a mechanic astray."
Sex Lives of the Potato Men,2004.0,Unrated,1h 22m,4.6,2.6K,Comedy,Follows the sexual antics of a group of potato delivery men in Birmingham.
Unbroken,2014.0,PG,2h 17m,7.2,181K,Action|Biography|Drama,"After a near-fatal plane crash in WWII, Olympian Louis Zamperini spends a harrowing 47 days in a raft with two fellow crewmen before he's caught by the Japanese navy and sent to a prisoner-of-war camp."
Michael Clayton,2007.0,14A,1h 59m,7.2,173K,Crime|Drama|Mystery,"A law firm brings in its ""fixer"" to remedy the situation after a lawyer has a breakdown while representing a chemical company that he knows is guilty in a multibillion-dollar class action suit."
Stalker,1979.0,G,2h 42m,8.1,144K,Drama|Sci-Fi,A guide leads two men through an area known as the Zone to find a room that grants wishes.
Locked In,2023.0,TV-MA,1h 36m,5.1,8.3K,Mystery|Thriller,"A kindly nurse tries to unlock the secrets of a coma patient's injury - and discovers the bitter rivalry, infidelity, betrayal and murder behind them."
Poltergeist,1982.0,13+,1h 54m,7.3,178K,Horror|Thriller,A family's home is haunted by a host of demonic ghosts.
Knights of the Zodiac,2023.0,PG,1h 52m,4.4,12K,Action|Adventure|Drama,"When a goddess of war reincarnates in the body of a young girl, street orphan Seiya discovers that he is destined to protect her and save the world. But only if he can face his own past and become a Knight of the Zodiac."
The Room,2003.0,18A,1h 39m,3.6,95K,Drama,"In San Francisco, an amiable banker's seemingly perfect life is turned upside down when his deceitful fiancée embarks on an affair with his best friend."
The Eternal Memory,2023.0,PG,1h 25m,7.4,2.5K,Documentary,"Augusto and Paulina have been together for 25 years. Eight years ago, he was diagnosed with Alzheimer's disease. Both fear the day he no longer recognizes her."
The League of Extraordinary Gentlemen,2003.0,PG,1h 50m,5.8,183K,Action|Adventure|Fantasy,"In an alternate Victorian Age world, a group of famous contemporary fantasy, science fiction, and adventure characters team up on a secret mission."
Final Destination,2000.0,R,1h 38m,6.7,277K,Horror|Thriller,"After getting a premonition about a plane crash on his school trip, Alex, a student saves a few of his classmates. However, their situation gets complicated when death starts chasing them."
Murder by Death,1976.0,PG,1h 35m,7.3,41K,Comedy|Crime|Mystery,Five famous literary detective characters and their sidekicks are invited to a bizarre mansion to solve an even stranger mystery.
Midnight Cowboy,1969.0,PA,1h 53m,7.8,120K,Drama,"A naive hustler travels from Texas to New York City to seek personal fortune, finding a new friend in the process."
Elysium,2013.0,14A,1h 49m,6.6,469K,Action|Drama|Sci-Fi,"In the year 2154, the very wealthy live on a man-made space station while the rest of the population resides on a ruined Earth. A man takes on a mission that could bring equality to the polarized worlds."
The Legend of Billie Jean,1985.0,PG,1h 36m,6.6,12K,Action|Drama,A Texas teenager cuts her hair short and becomes an outlaw martyr with her brother and friends.
Shakespeare in Love,1998.0,14A,2h 3m,7.1,233K,Comedy|Drama|History,"The world's greatest ever playwright, William Shakespeare, is young, out of ideas and short of cash, but meets his ideal woman and is inspired to write one of his most famous plays."
Mothers' Instinct,2024.0,,1h 34m,7.6,80,Drama|Thriller,"Alice and Celine live a traditional lifestyle with successful husbands and sons of the same age. Life's perfect harmony is suddenly shattered after a tragic accident. Guilt, suspicion and paranoia combine to unravel their sisterly bond."
Strangers on a Train,1951.0,PG,1h 41m,7.9,140K,Crime|Drama|Film-Noir,A psychopathic man tries to forcibly persuade a tennis star to agree to his theory that two strangers can get away with murder by submitting to his plan to kill the other's most-hated person.
Beethoven,1992.0,G,1h 27m,5.7,76K,Comedy|Drama|Family,"A slobbering St. Bernard becomes the center of attention for a loving family, but must contend with a dog-napping veterinarian and his henchmen."
Men in Black II,2002.0,PG,1h 28m,6.2,401K,Action|Adventure|Comedy,Agent J is sent to find Agent K and restore his memory after the re-appearance of a case from K's past.
Machete,2010.0,18A,1h 45m,6.6,204K,Action|Crime|Thriller,"After being set-up and betrayed by the man who hired him to assassinate a Texas Senator, an ex-Federale launches a brutal rampage of revenge against his former boss."
As Good as It Gets,1997.0,PG,2h 19m,7.7,317K,Comedy|Drama|Romance,"A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery."
Flight,2012.0,18A,2h 18m,7.3,374K,Drama|Thriller,Troubling questions arise after airline pilot Whip Whitaker makes a miracle landing after a mid-air catastrophe.
PAW Patrol: The Mighty Movie,2023.0,PG,1h 28m,6.0,4.6K,Animation|Action|Adventure,"A magical meteor crash lands in Adventure City and gives the PAW Patrol pups superpowers, transforming them into The Mighty Pups"
